ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"BRY","Berry Corporation (bry) Common Stock","0001705873","1311","Diversified Utility","2024","FY","2.63%","0.026348277391204374","19251000","730636000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","369"
"CDZI","CADIZ Inc. Common Stock","0000727273","4941","Diversified Utility","2024","FY","-91.69%","-0.9169341303259622","-31140000","33961000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","349"
"CDZIP","Cadiz Inc. Depositary Shares","0000727273","4941","Diversified Utility","2024","FY","-91.69%","-0.9169341303259622","-31140000","33961000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","251"
"CEG","Constellation Energy Corporation Common Stock ","0001868275","4911","Electric Services","2024","FY","28.47%","0.2847485948655628","3749000000","13166000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","242"
"CETY","Clean Energy Technologies Inc. Common Stock","0001329606","4924","Natural Gas Distribution","2024","FY","-150.29%","-1.502915090750321","-4416319","2938502","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","279"
"CHRD","Chord Energy Corporation Common Stock","0001486159","1311","Diversified Utility","2024","FY","9.75%","0.09751797865888202","848627000","8702262000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","488"
"CIVI","Civitas Resources Inc. Common Stock","0001509589","1311","Diversified Utility","2016","FY","-1043.75%","-10.43754262630502","-198950000","19061000","us-gaap:IncomeLossFromContinuingOperations","us-gaap:StockholdersEquity","","343"
"CKX","CKX Lands Inc. Common Stock","0000352955","1311","Diversified Utility","2024","FY","1.35%","0.013465171010104152","250224","18583054","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","296"
"CLNE","Clean Energy Fuels Corp. Common Stock","0001368265","4932","Gas & Other Services Combined","2024","FY","-11.65%","-0.11646312141354012","-83070000","713273000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","427"
"CMS","CMS Energy Corporation Common Stock","0000811156","4931","Electric & Other Services Combined","2024","FY","12.19%","0.1218712029161604","1003000000","8230000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","347"
